Video ID,Channel Name,Title,Published At,Duration,View Count,Like Count,Comment Count,Tags Count,Upload Year,Upload Month,Upload Day of Week,Duration Seconds,Duration Minutes
ngPkbaZliaU,Marques Brownlee,The Truth About the Bezelless Concept Phone,2026-08-24 20:27:50+00:00,PT6M29S,866782,39823,2501,4,2026,8,Monday,389,6.48
mfmdXPT7nAM,Marques Brownlee,I Said Yes to Every Email for a Month! (Again),2026-08-21 18:53:07+00:00,PT30M51S,2147106,74875,3611,4,2026,8,Friday,1851,30.85
o4SSoURPODY,Marques Brownlee,Google Pixel 11/Pro/Fold Impressions: It Is What It Is,2026-08-12 14:00:35+00:00,PT11M14S,3291527,86938,7090,6,2026,8,Wednesday,674,11.23
Z6z_feacXW8,Marques Brownlee,Galaxy Z Fold 8 Review: Honeymoon's Over,2026-08-01 00:05:00+00:00,PT11M36S,4481691,106868,6212,0,2026,8,Saturday,696,11.6
_xjxwl1zLMc,Marques Brownlee,Framework 13 Pro: The Modular Laptop is Real!,2026-07-27 15:38:21+00:00,PT12M49S,3445037,101918,4404,6,2026,7,Monday,769,12.82
8Hx2yvWSgs0,Marques Brownlee,Samsung Z Fold 8 (Wide) Impressions: Better Than I Thought!,2026-07-22 13:01:05+00:00,PT9M23S,4689218,117599,6248,0,2026,7,Wednesday,563,9.38
kUnR9dO4EnA,Marques Brownlee,This ZOOM is Insane!,2026-07-20 20:39:08+00:00,PT1M6S,3681906,147534,2315,5,2026,7,Monday,66,1.1
_oRgdlJUD18,Marques Brownlee,iOS 27 Hands-On: Top 5 New Features!,2026-07-13 22:27:02+00:00,PT15M19S,5866165,145159,7619,8,2026,7,Monday,919,15.32
eWKY0OnPByg,Marques Brownlee,Apple Lost the AI Race,2026-07-08 19:44:58+00:00,PT7M4S,2205160,93081,6380,4,2026,7,Wednesday,424,7.07
DUgPFNRmsCQ,Marques Brownlee,Nothing Phone 4b: They Can't Say It!,2026-07-07 10:31:42+00:00,PT10M21S,2401526,65334,3213,8,2026,7,Tuesday,621,10.35
7KRabLH7jcE,Marques Brownlee,The Best Car I've Ever Driven: McLaren W1,2026-07-02 20:42:45+00:00,PT16M31S,1912624,66298,2633,9,2026,7,Thursday,991,16.52
ZpF6IE0rdxA,Marques Brownlee,Antigravity A1: A New Take on Drones!,2026-06-29 19:22:20+00:00,PT10M10S,2227929,53076,1685,4,2026,6,Monday,610,10.17
