Video ID,Channel Name,Title,Published At,Duration,View Count,Like Count,Comment Count,Tags Count
ngPkbaZliaU,Marques Brownlee,The Truth About the Bezelless Concept Phone,2026-08-24T20:27:50Z,PT6M29S,963265,42606,2652,4
mfmdXPT7nAM,Marques Brownlee,I Said Yes to Every Email for a Month! (Again),2026-08-21T18:53:07Z,PT30M51S,2155836,75088,3615,4
o4SSoURPODY,Marques Brownlee,Google Pixel 11/Pro/Fold Impressions: It Is What It Is,2026-08-12T14:00:35Z,PT11M14S,3293253,86974,7090,6
Z6z_feacXW8,Marques Brownlee,Galaxy Z Fold 8 Review: Honeymoon's Over,2026-08-01T00:05:00Z,PT11M36S,4482831,106881,6212,0
_xjxwl1zLMc,Marques Brownlee,Framework 13 Pro: The Modular Laptop is Real!,2026-07-27T15:38:21Z,PT12M49S,3445950,101931,4405,6
8Hx2yvWSgs0,Marques Brownlee,Samsung Z Fold 8 (Wide) Impressions: Better Than I Thought!,2026-07-22T13:01:05Z,PT9M23S,4689410,117600,6248,0
kUnR9dO4EnA,Marques Brownlee,This ZOOM is Insane!,2026-07-20T20:39:08Z,PT1M6S,3682618,147571,2315,5
_oRgdlJUD18,Marques Brownlee,iOS 27 Hands-On: Top 5 New Features!,2026-07-13T22:27:02Z,PT15M19S,5867028,145170,7619,8
eWKY0OnPByg,Marques Brownlee,Apple Lost the AI Race,2026-07-08T19:44:58Z,PT7M4S,2205233,93084,6380,4
DUgPFNRmsCQ,Marques Brownlee,Nothing Phone 4b: They Can't Say It!,2026-07-07T10:31:42Z,PT10M21S,2401636,65335,3213,8
7KRabLH7jcE,Marques Brownlee,The Best Car I've Ever Driven: McLaren W1,2026-07-02T20:42:45Z,PT16M31S,1912804,66302,2633,9
ZpF6IE0rdxA,Marques Brownlee,Antigravity A1: A New Take on Drones!,2026-06-29T19:22:20Z,PT10M10S,2228175,53077,1685,4
oYAnEH0JoqI,Marques Brownlee,Apple's Big Price Hike,2026-06-25T15:32:20Z,PT1M1S,1777420,57093,2311,0
QrT4S9i3agE,Marques Brownlee,Top 5 Android 17 Features: I Swear It's New!,2026-06-24T21:06:51Z,PT9M24S,2096003,65857,3157,8
WOzcFkld6_g,Marques Brownlee,The Most Interesting Displays In The World!,2026-06-16T18:17:15Z,PT15M57S,2711447,72532,2107,0
_gCXmKjDecU,Marques Brownlee,"WWDC 2026 Impressions: Yeah, That's About Right",2026-06-09T05:48:41Z,PT16M28S,4159090,114985,6334,8
n3V3LZh_r40,Marques Brownlee,Apple Products That DON'T Exist,2026-06-04T19:41:28Z,PT2M45S,4908011,182341,3748,0
ImRy_PiXstI,Marques Brownlee,Lewis Hamilton Explains F1 Tire Strategy,2026-05-29T16:16:48Z,PT33S,4519882,98049,925,4
mk_wdHePbtQ,Marques Brownlee,The Hidden Tech Behind an NBA Broadcast!,2026-05-28T21:02:37Z,PT11M3S,2347367,89292,2875,6
